Company,TypeName,Inches,Ram,OpSys,Weight,Price,Screen Panel Type,Additional Screen Features,Screen Resolution,CPU Brand,CPU Series,CPU Model Number,CPU Clock Speed,Gpu Brand,Gpu Series,Gpu Type,Main Storage Size,Main Storage Type,Additional Storage Size
Apple,Ultrabook,13.3,8,macOS,1.37,71378,IPS Panel,Retina Display,2560x1600,Intel,Core,i5,2.3,Intel,Iris Plus Graphics 640,Iris,128,SSD,0
Apple,Ultrabook,13.3,8,macOS,1.34,47895,Standard,Standard,1440x900,Intel,Core,i5,1.8,Intel,HD Graphics 6000,HD Graphics,128,Flash Storage,0
HP,Notebook,15.6,8,No OS,1.86,30636,Standard,Full HD,1920x1080,Intel,Core,i5,2.5,Intel,HD Graphics 620,HD Graphics,256,SSD,0
Apple,Ultrabook,15.4,16,macOS,1.83,135195,IPS Panel,Retina Display,2880x1800,Intel,Core,i7,2.7,AMD,Radeon Pro 455,Radeon,512,SSD,0
Apple,Ultrabook,13.3,8,macOS,1.37,96095,IPS Panel,Retina Display,2560x1600,Intel,Core,i5,3.1,Intel,Iris Plus Graphics 650,Iris,256,SSD,0
Acer,Notebook,15.6,4,Windows 10,2.1,21312,Standard,Standard,1366x768,AMD,A9-Series,A9,2.3,AMD,Radeon R5,Radeon,500,HDD,0
Apple,Ultrabook,15.4,16,Mac OS X,2.04,114017,IPS Panel,Retina Display,2880x1800,Intel,Core,i7,2.2,Intel,Iris Pro Graphics,Iris,256,Flash Storage,0
Apple,Ultrabook,13.3,8,macOS,1.34,61735,Standard,Standard,1440x900,Intel,Core,i5,1.8,Intel,HD Graphics 6000,HD Graphics,256,Flash Storage,0
Asus,Ultrabook,14,16,Windows 10,1.3,79653,Standard,Full HD,1920x1080,Intel,Core,i7,1.8,Nvidia,GeForce MX150,GeForce,512,SSD,0
HP,Notebook,15.6,4,No OS,1.86,20986,Standard,Standard,1366x768,Intel,Core,i5,2.5,Intel,HD Graphics 620,HD Graphics,500,HDD,0
HP,Notebook,15.6,4,No OS,1.86,18381,Standard,Full HD,1920x1080,Intel,Core,i3,2.3,Intel,HD Graphics 520,HD Graphics,500,HDD,0
Apple,Ultrabook,15.4,16,macOS,1.83,130001,IPS Panel,Retina Display,2880x1800,Intel,Core,i7,2.8,AMD,Radeon Pro 555,Radeon,256,SSD,0
Dell,Notebook,15.6,4,Windows 10,2.2,26581,Standard,Full HD,1920x1080,Intel,Core,i3,2.3,AMD,Radeon R5 M430,Radeon,256,SSD,0
Apple,Ultrabook,12,8,macOS,0.92,67260,IPS Panel,Retina Display,2304x1440,Intel,Core,m3,1.2,Intel,HD Graphics 615,HD Graphics,256,SSD,0
Apple,Ultrabook,13.3,8,macOS,1.37,80908,IPS Panel,Retina Display,2560x1600,Intel,Core,i5,2.3,Intel,Iris Plus Graphics 640,Iris,256,SSD,0
Dell,Notebook,15.6,8,Windows 10,2.2,39693,Standard,Full HD,1920x1080,Intel,Core,i7,2.7,AMD,Radeon R5 M430,Radeon,256,SSD,0
Apple,Ultrabook,15.4,16,macOS,1.83,152274,IPS Panel,Retina Display,2880x1800,Intel,Core,i7,2.9,AMD,Radeon Pro 560,Radeon,512,SSD,0
Lenovo,Gaming,15.6,8,Windows 10,2.5,53226,IPS Panel,Full HD,1920x1080,Intel,Core,i5,2.5,Nvidia,GeForce GTX 1050,GeForce,128,SSD,0
HP,Notebook,15.6,4,No OS,1.86,13746,Standard,Standard,1366x768,AMD,E-Series,E2,1.5,AMD,Radeon R2,Radeon,500,HDD,0
HP,Ultrabook,15.6,8,Windows 10,1.91,35111,Standard,Full HD,1920x1080,Intel,Core,i7,1.8,Intel,HD Graphics 620,HD Graphics,256,SSD,0
Apple,Ultrabook,13.3,8,Mac OS X,1.35,58554,Standard,Standard,1440x900,Intel,Core,i5,1.6,Intel,HD Graphics 6000,HD Graphics,128,Flash Storage,0
Dell,Notebook,15.6,8,Windows 10,2.2,42624,Standard,Full HD,1920x1080,Intel,Core,i5,1.6,AMD,Radeon 530,Radeon,256,SSD,0
Chuwi,Notebook,15.6,4,Windows 10,1.89,13053,Standard,Full HD,1920x1080,Intel,Atom,x5-Z8300,1.4,Intel,HD Graphics,HD Graphics,64,Flash Storage,0
Asus,Notebook,14,2,Windows 10,1.65,10602,Standard,Standard,1366x768,AMD,E-Series,E2-6110,1.5,AMD,Radeon R2,Radeon,32,Flash Storage,0
HP,Notebook,17.3,4,Windows 10,2.71,23389,Standard,Full HD,1920x1080,AMD,A6-Series,A6,2.5,AMD,Radeon 530,Radeon,500,HDD,0
Apple,Ultrabook,13.3,8,Mac OS X,1.35,53173,Standard,Standard,1440x900,Intel,Core,i5,1.6,Intel,HD Graphics 6000,HD Graphics,256,Flash Storage,0
Lenovo,Notebook,14,4,Windows 10,1.44,13266,Standard,Standard,1366x768,Intel,Celeron,N3350,1.1,Intel,HD Graphics 500,HD Graphics,64,Flash Storage,0
Dell,Notebook,17.3,8,Windows 10,2.8,52161,IPS Panel,Full HD,1920x1080,Intel,Core,i5,1.6,AMD,Radeon 530,Radeon,128,SSD,0
HP,Notebook,15.6,8,Windows 10,2.1,46833,Standard,Full HD,1920x1080,Intel,Core,i5,1.6,Nvidia,GeForce 930MX,GeForce,256,SSD,0
Dell,Gaming,15.6,16,Windows 10,2.65,79866,IPS Panel,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1060,GeForce,256,SSD,0
Apple,Ultrabook,13.3,8,macOS,1.37,75604,IPS Panel,Retina Display,2560x1600,Intel,Core,i5,2.0,Intel,Iris Graphics 540,Iris,256,SSD,0
Asus,Gaming,17.3,8,Windows 10,3.2,69210,Standard,Full HD,1920x1080,AMD,Ryzen,1700,2.3,AMD,Radeon RX 580,Radeon,256,SSD,0
Dell,Notebook,15.6,4,Windows 10,2.3,34045,Standard,Full HD,1920x1080,Intel,Core,i5,2.5,AMD,Radeon R5 M430,Radeon,256,SSD,0
Acer,Notebook,15.6,8,Windows 10,2.2,44808,IPS Panel,Full HD,1920x1080,Intel,Core,i7,1.8,Nvidia,GeForce MX150,GeForce,256,SSD,0
HP,Notebook,15.6,4,Windows 10,1.86,21231,Standard,Full HD,1920x1080,AMD,A6-Series,A6,2.5,AMD,Radeon R4 Graphics,Radeon,256,SSD,0
Dell,Notebook,15.6,8,Windows 10,2.13,40908,Standard,Full HD,1920x1080,Intel,Core,i7,1.8,AMD,Radeon 520,Radeon,256,SSD,0
HP,Notebook,15.6,4,Windows 10,1.91,23389,Standard,Full HD,1920x1080,Intel,Core,i3,2.3,Intel,HD Graphics 520,HD Graphics,128,SSD,0
Asus,Notebook,15.6,4,Windows 10,2,31232,Standard,Standard,1366x768,Intel,Core,i5,2.5,Intel,HD Graphics 620,HD Graphics,256,SSD,0
MSI,Gaming,17.3,16,Windows 10,2.43,130482,Standard,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1070,GeForce,256,SSD,0
Asus,Notebook,15.6,4,Linux,2,22111,Standard,Full HD,1920x1080,Intel,Core,i3,2.3,Intel,HD Graphics 520,HD Graphics,256,SSD,0
Dell,Notebook,17.3,16,Windows 10,2.8,69210,Standard,Full HD,1920x1080,Intel,Core,i7,1.8,AMD,Radeon 530,Radeon,256,SSD,0
Lenovo,Notebook,14,8,No OS,1.7,31914,IPS Panel,Full HD,1920x1080,Intel,Core,i3,2.7,Intel,HD Graphics 620,HD Graphics,256,SSD,0
HP,Notebook,15.6,8,Windows 10,1.86,36763,Standard,Full HD,1920x1080,Intel,Core,i5,2.5,Intel,HD Graphics 620,HD Graphics,256,SSD,0
Asus,Ultrabook,15.6,16,Windows 10,1.8,105654,Standard,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1050 Ti,GeForce,512,SSD,0
HP,Notebook,15.6,4,Windows 10,1.86,23373,Standard,Standard,1366x768,Intel,Core,i3,2.3,AMD,Radeon 520,Radeon,500,HDD,0
HP,Notebook,14,4,Windows 10,1.44,12201,Standard,Standard,1366x768,Intel,Celeron,N3060,1.6,Intel,HD Graphics 400,HD Graphics,32,SSD,0
Microsoft,Ultrabook,13.5,4,Windows 10 S,1.252,58021,Touchscreen,Standard,2256x1504,Intel,Core,i5,2.5,Intel,HD Graphics 620,HD Graphics,128,SSD,0
Dell,Ultrabook,13.3,64,Windows 10,1.4,50882,IPS Panel,Full HD,1920x1080,Intel,Core,i7,1.8,AMD,Radeon 530,Radeon,256,SSD,0
Dell,Notebook,15.6,8,Windows 10,2.2,46353,Standard,Full HD,1920x1080,Intel,Core,i7,1.8,AMD,Radeon 530,Radeon,256,SSD,0
MSI,Gaming,17.3,8,Windows 10,2.7,58341,Standard,Full HD,1920x1080,Intel,Core,i5,2.5,Nvidia,GeForce GTX 1050,GeForce,128,SSD,0
HP,Notebook,17.3,8,Windows 10,2.5,52054,Standard,Full HD,1920x1080,Intel,Core,i5,1.6,Nvidia,GeForce 930MX,GeForce,128,SSD,0
Apple,Ultrabook,12,8,macOS,0.92,80452,IPS Panel,Retina Display,2304x1440,Intel,Core,i5,1.3,Intel,HD Graphics 615,HD Graphics,512,SSD,0
HP,Notebook,14,8,Windows 10,1.63,45820,Standard,Full HD,1920x1080,Intel,Core,i5,1.6,Intel,HD Graphics 620,HD Graphics,256,SSD,0
Dell,Gaming,15.6,16,Windows 10,2.65,71874,IPS Panel,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1050 Ti,GeForce,128,SSD,0
HP,Ultrabook,15.6,8,Windows 10,1.83,37242,IPS Panel,Full HD,1920x1080,Intel,Core,i7,1.8,Nvidia,GeForce GTX 940MX,GeForce,256,SSD,0
HP,Notebook,15.6,8,Windows 10,1.96,31914,Standard,Full HD,1920x1080,Intel,Core,i5,2.5,Intel,HD Graphics 620,HD Graphics,256,SSD,0
Asus,Gaming,15.6,16,Windows 10,2.2,77202,IPS Panel,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1060,GeForce,128,SSD,0
Dell,Gaming,15.6,8,Windows 10,2.65,63669,Standard,Full HD,1920x1080,Intel,Core,i5,2.5,Nvidia,GeForce GTX 1060,GeForce,256,SSD,0
Asus,Ultrabook,14,8,Windows 10,1.25,55890,Standard,Full HD,1920x1080,Intel,Core,i7,2.7,Intel,HD Graphics 620,HD Graphics,256,SSD,0
Dell,Notebook,15.6,4,Linux,2.2,25840,Standard,Full HD,1920x1080,Intel,Core,i3,2.3,AMD,Radeon R5 M430,Radeon,256,SSD,0
Asus,Notebook,15.6,6,Windows 10,2,30742,Standard,Full HD,1920x1080,Intel,Core,i3,2.4,Nvidia,GeForce 920M,GeForce,256,SSD,0
HP,Gaming,15.6,12,Windows 10,2.62,66546,IPS Panel,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1050,GeForce,128,SSD,0
HP,Notebook,15.6,8,Windows 10,1.91,38308,Standard,Full HD,1920x1080,Intel,Core,i7,2.7,AMD,Radeon 530,Radeon,256,SSD,0
