Company,TypeName,Inches,Ram,OpSys,Weight,Price,ScreenBreadth,ScreenLength,Screen Panel Type,Additional Screen Features,CPU Brand,CPU Series,CPU Clock Speed,Memory Size,Additional Memory,Memory Type,GPU Brand,GPU Series
Apple,Ultrabook,13.3,8,macOS,1.4,71378,2560,1600,IPS Panel,Retina Display,Intel,Core,2.3,128,0,SSD,Intel,Iris
Apple,Ultrabook,13.3,8,macOS,1.3,47895,1440,900,Standard,Standard,Intel,Core,1.8,128,0,Flash,Intel,HD
HP,Notebook,15.6,8,No OS,1.9,30636,1920,1080,Standard,Full HD,Intel,Core,2.5,256,0,SSD,Intel,HD
Apple,Ultrabook,15.4,16,macOS,1.8,135195,2880,1800,IPS Panel,Retina Display,Intel,Core,2.7,512,0,SSD,AMD,Radeon
Apple,Ultrabook,13.3,8,macOS,1.4,96095,2560,1600,IPS Panel,Retina Display,Intel,Core,3.1,256,0,SSD,Intel,Iris
Acer,Notebook,15.6,4,Windows 10,2.1,21312,1366,768,Standard,Standard,AMD,A9-Series,3,500,0,HDD,AMD,Radeon
Apple,Ultrabook,15.4,16,Mac OS X,2.0,114017,2880,1800,IPS Panel,Retina Display,Intel,Core,2.2,256,0,Flash,Intel,Iris
Apple,Ultrabook,13.3,8,macOS,1.3,61735,1440,900,Standard,Standard,Intel,Core,1.8,256,0,Flash,Intel,HD
Asus,Ultrabook,14,16,Windows 10,1.3,79653,1920,1080,Standard,Full HD,Intel,Core,1.8,512,0,SSD,Nvidia,GeForce
Acer,Ultrabook,14,8,Windows 10,1.6,41025,1920,1080,IPS Panel,Full HD,Intel,Core,1.6,256,0,SSD,Intel,UHD
HP,Notebook,15.6,4,No OS,1.9,20986,1366,768,Standard,Standard,Intel,Core,2.5,500,0,HDD,Intel,HD
HP,Notebook,15.6,4,No OS,1.9,18381,1920,1080,Standard,Full HD,Intel,Core,2,500,0,HDD,Intel,HD
Apple,Ultrabook,15.4,16,macOS,1.8,130001,2880,1800,IPS Panel,Retina Display,Intel,Core,2.8,256,0,SSD,AMD,Radeon
Dell,Notebook,15.6,4,Windows 10,2.2,26581,1920,1080,Standard,Full HD,Intel,Core,2,256,0,SSD,AMD,Radeon
Apple,Ultrabook,12,8,macOS,0.9,67260,2304,1440,IPS Panel,Retina Display,Intel,Core,1.2,256,0,SSD,Intel,HD
Apple,Ultrabook,13.3,8,macOS,1.4,80908,2560,1600,IPS Panel,Retina Display,Intel,Core,2.3,256,0,SSD,Intel,Iris
Dell,Notebook,15.6,8,Windows 10,2.2,39693,1920,1080,Standard,Full HD,Intel,Core,2.7,256,0,SSD,AMD,Radeon
Apple,Ultrabook,15.4,16,macOS,1.8,152274,2880,1800,IPS Panel,Retina Display,Intel,Core,2.9,512,0,SSD,AMD,Radeon
Lenovo,Notebook,15.6,8,No OS,2.2,26586,1920,1080,Standard,Full HD,Intel,Core,2.4,1024,0,HDD,Nvidia,GeForce
Dell,Ultrabook,13.3,8,Windows 10,1.2,52161,1920,1080,IPS Panel,Full HD,Intel,Core,1.6,128,0,SSD,Intel,UHD
Lenovo,Gaming,15.6,8,Windows 10,2.5,53226,1920,1080,IPS Panel,Full HD,Intel,Core,2.5,128,1024,SSD,Nvidia,GeForce
HP,Notebook,15.6,4,No OS,1.9,13746,1366,768,Standard,Standard,AMD,E-Series,1.5,500,0,HDD,AMD,Radeon
Dell,2 in 1 Convertible,13.3,8,Windows 10,1.6,43636,1920,1080,Touchscreen,Full HD,Intel,Core,1.6,256,0,SSD,Intel,UHD
HP,Ultrabook,15.6,8,Windows 10,1.9,35111,1920,1080,Standard,Full HD,Intel,Core,1.8,256,0,SSD,Intel,HD
Dell,Notebook,15.6,4,Windows 10,2.3,22305,1366,768,Standard,Standard,Intel,Core,2,1024,0,HDD,Intel,HD
Apple,Ultrabook,13.3,8,Mac OS X,1.4,58554,1440,900,Standard,Standard,Intel,Core,1.6,128,0,Flash,Intel,HD
Dell,Notebook,15.6,8,Windows 10,2.2,42624,1920,1080,Standard,Full HD,Intel,Core,1.6,256,0,SSD,AMD,Radeon
Dell,Ultrabook,15.6,8,Windows 10,1.9,69157,1920,1080,Standard,Full HD,Intel,Core,1.9,256,256,SSD,Intel,UHD
HP,Notebook,17.3,8,Windows 10,2.5,47738,1920,1080,Standard,Full HD,Intel,Core,1.6,1024,0,HDD,Nvidia,GeForce
Chuwi,Notebook,15.6,4,Windows 10,1.9,13053,1920,1080,Standard,Full HD,Intel,Atom,1.44,64,0,Flash,Intel,HD
Asus,Notebook,14,2,Windows 10,1.6,10602,1366,768,Standard,Standard,AMD,E-Series,1.5,32,0,Flash,AMD,Radeon
HP,Notebook,17.3,4,Windows 10,2.7,23389,1920,1080,Standard,Full HD,AMD,A6-Series,2.5,500,0,HDD,AMD,Radeon
